timestamp,country,operating_system,Facebook Messenger,iMessage,WhatsApp,Telegram,Slack,Skype,Snapchat,QQ Mobile,Line,WeChat,Viber,GroupMe,SMS,IRC,Google Talk
2016/08/31 11:30:45 AM AST,United States,iOS,I use it at least once a week,I use it at least once a week,I don't have it,I don't have it,I don't have it,I have it but rarely use it,I use it at least once a week,I don't have it,I don't have it,I don't have it,I don't have it,I use it at least once a week,I use it at least once a week,I don't have it,I have it but rarely use it
2016/08/31 12:17:32 PM AST,United States,iOS,I use it at least once a week,I use it at least once a week,I have it but rarely use it,I don't have it,I don't have it,I have it but rarely use it,I use it at least once a week,I don't have it,I don't have it,I don't have it,I don't have it,I have it but rarely use it,I use it at least once a week,I don't have it,I don't have it
2016/08/31 12:21:00 PM AST,United States,Android,I use it at least once a week,I don't have it,I have it but rarely use it,I don't have it,I use it at least once a week,I have it but rarely use it,I have it but rarely use it,I don't have it,I don't have it,I don't have it,I don't have it,I don't have it,I use it at least once a week,I have it but rarely use it,I use it at least once a week
2016/08/31 12:23:15 PM AST,United States,iOS,I use it at least once a week,I use it at least once a week,I don't have it,I don't have it,I use it at least once a week,I use it at least once a week,I use it at least once a week,I don't have it,I don't have it,I don't have it,I don't have it,I don't have it,I use it at least once a week,I have it but rarely use it,I have it but rarely use it
2016/08/31 6:04:54 PM AST,United States,Android,I use it at least once a week,I don't have it,I use it at least once a week,I don't have it,I don't have it,I have it but rarely use it,I have it but rarely use it,I don't have it,I don't have it,I don't have it,I don't have it,I don't have it,I don't have it,I don't have it,I don't have it
2016/08/31 9:40:33 PM AST,United States,Android,I use it at least once a week,I don't have it,I don't have it,I have it but rarely use it,I use it at least once a week,I have it but rarely use it,I have it but rarely use it,I don't have it,I don't have it,I don't have it,I don't have it,I have it but rarely use it,I have it but rarely use it,I have it but rarely use it,I use it at least once a week
2016/09/01 7:03:50 AM AST,United States,Android,I use it at least once a week,I don't have it,I have it but rarely use it,I don't have it,I don't have it,I have it but rarely use it,I use it at least once a week,I don't have it,I don't have it,I don't have it,I don't have it,I don't have it,I use it at least once a week,I don't have it,I have it but rarely use it
2016/09/01 10:02:16 PM AST,United States,iOS,I have it but rarely use it,I use it at least once a week,I don't have it,I have it but rarely use it,I have it but rarely use it,I don't have it,I don't have it,I don't have it,I don't have it,I don't have it,I don't have it,I don't have it,I use it at least once a week,I have it but rarely use it,I don't have it
2016/08/31 1:32:50 AM AST,United States,iOS,I don't have it,I use it at least once a week,I don't have it,I don't have it,I don't have it,I don't have it,I use it at least once a week,I don't have it,I don't have it,I don't have it,I don't have it,I don't have it,I use it at least once a week,I don't have it,I don't have it
2016/08/31 4:27:17 PM AST,United States,iOS,I use it at least once a week,I don't have it,I use it at least once a week,I don't have it,I don't have it,I have it but rarely use it,I use it at least once a week,I don't have it,I don't have it,I don't have it,I don't have it,I don't have it,I use it at least once a week,I don't have it,I don't have it
2016/08/30 8:19:25 PM AST,Venezuela,iOS,I use it at least once a week,I use it at least once a week,I use it at least once a week,I don't have it,I use it at least once a week,I don't have it,I have it but rarely use it,I don't have it,I don't have it,I don't have it,I don't have it,I don't have it,I have it but rarely use it,I don't have it,I have it but rarely use it
